INFO 2025-07-09 04:30:50,234 autoreload 6188 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 04:31:11,784 autoreload 6261 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 04:42:22,058 autoreload 7308 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 04:42:43,374 autoreload 7586 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 04:50:36,899 autoreload 7966 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 04:51:28,401 autoreload 8069 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 04:52:40,239 autoreload 8230 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 04:53:01,727 autoreload 8296 8654151424 Watching for file changes with StatReloader
WARNING 2025-07-09 04:53:35,615 log 8296 6204190720 Not Found: /api/dashboard/main
WARNING 2025-07-09 04:53:35,615 log 8296 6221017088 Not Found: /api/dashboard/commission
WARNING 2025-07-09 04:53:35,616 basehttp 8296 6204190720 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 04:53:35,616 basehttp 8296 6221017088 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 04:53:35,626 log 8296 6204190720 Not Found: /api/dashboard/main
WARNING 2025-07-09 04:53:35,629 log 8296 6221017088 Not Found: /api/dashboard/commission
WARNING 2025-07-09 04:53:35,630 basehttp 8296 6204190720 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 04:53:35,630 basehttp 8296 6221017088 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 04:53:36,648 log 8296 6204190720 Not Found: /api/dashboard/main
WARNING 2025-07-09 04:53:36,648 basehttp 8296 6204190720 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 04:53:36,676 log 8296 6204190720 Not Found: /api/dashboard/commission
WARNING 2025-07-09 04:53:36,676 basehttp 8296 6204190720 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 04:53:36,692 log 8296 6204190720 Not Found: /api/dashboard/main
WARNING 2025-07-09 04:53:36,692 basehttp 8296 6204190720 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 04:53:36,740 log 8296 6204190720 Not Found: /api/dashboard/commission
WARNING 2025-07-09 04:53:36,740 basehttp 8296 6204190720 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 04:53:38,712 log 8296 6204190720 Not Found: /api/dashboard/commission
WARNING 2025-07-09 04:53:38,713 basehttp 8296 6204190720 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 04:53:38,828 log 8296 6204190720 Not Found: /api/dashboard/main
WARNING 2025-07-09 04:53:38,833 log 8296 6221017088 Not Found: /api/dashboard/commission
WARNING 2025-07-09 04:53:38,833 basehttp 8296 6204190720 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 04:53:38,834 basehttp 8296 6221017088 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 04:53:38,857 log 8296 6204190720 Not Found: /api/dashboard/main
WARNING 2025-07-09 04:53:38,857 basehttp 8296 6204190720 "GET /api/dashboard/main HTTP/1.1" 404 7685
INFO 2025-07-09 04:53:50,187 basehttp 8296 6204190720 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
WARNING 2025-07-09 04:53:50,430 log 8296 6204190720 Unauthorized: /api/auth/login/
WARNING 2025-07-09 04:53:50,430 basehttp 8296 6204190720 "POST /api/auth/login/ HTTP/1.1" 401 45
WARNING 2025-07-09 04:53:51,653 log 8296 6204190720 Unauthorized: /api/auth/login/
WARNING 2025-07-09 04:53:51,653 basehttp 8296 6204190720 "POST /api/auth/login/ HTTP/1.1" 401 45
WARNING 2025-07-09 04:53:53,883 log 8296 6204190720 Unauthorized: /api/auth/login/
WARNING 2025-07-09 04:53:53,883 basehttp 8296 6204190720 "POST /api/auth/login/ HTTP/1.1" 401 45
INFO 2025-07-09 04:59:48,113 autoreload 8296 8654151424 /Users/shishirkafle/Desktop/BrahmabyteLab/PRS/backend/Backend_PRS/backend/backend/settings.py changed, reloading.
INFO 2025-07-09 04:59:48,461 autoreload 8627 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 05:01:21,984 basehttp 8627 6194753536 "POST /api/auth/login/ HTTP/1.1" 200 264
INFO 2025-07-09 05:01:24,315 basehttp 8627 6194753536 "OPTIONS /api/v1/organizations/ HTTP/1.1" 200 0
INFO 2025-07-09 05:01:24,319 basehttp 8627 6211579904 "OPTIONS /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 0
INFO 2025-07-09 05:01:24,320 basehttp 8627 6228406272 "OPTIONS /api/v1/auth/users/ HTTP/1.1" 200 0
INFO 2025-07-09 05:01:24,325 basehttp 8627 6245232640 "OPTIONS /api/v1/organizations/ HTTP/1.1" 200 0
INFO 2025-07-09 05:01:24,326 basehttp 8627 6194753536 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:01:24,329 basehttp 8627 6262059008 "OPTIONS /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 0
INFO 2025-07-09 05:01:24,331 basehttp 8627 6278885376 "OPTIONS /api/v1/auth/users/ HTTP/1.1" 200 0
INFO 2025-07-09 05:01:24,335 basehttp 8627 6211579904 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:01:24,337 basehttp 8627 6194753536 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:01:24,337 basehttp 8627 6228406272 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
INFO 2025-07-09 05:01:24,339 basehttp 8627 6278885376 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:01:24,342 basehttp 8627 6228406272 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
WARNING 2025-07-09 05:01:34,977 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:34,977 log 8627 6312538112 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:34,977 basehttp 8627 6312538112 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:34,978 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
